x,y,w,h
781,502,33,67
781,502,33,67
781,502,33,67
781,502,33,67
781,502,33,67
781,502,33,67
781,502,33,67
780,501,35,70
781,502,33,67
781,502,33,67
781,502,33,67
781,502,33,67
781,502,33,67
781,502,33,67
780,501,35,70
780,502,34,68
780,502,34,68
780,502,34,68
780,502,33,67
779,502,34,68
779,501,35,70
779,502,34,68
779,502,33,67
779,502,34,68
779,502,34,68
778,502,34,68
779,502,34,68
779,502,34,68
780,503,32,65
780,503,32,65
778,503,33,66
780,503,32,65
780,503,32,65
780,503,32,65
780,503,32,65
781,503,32,65
781,503,32,65
772,493,46,93
793,515,19,38
791,526,13,27
773,525,29,58
759,523,28,57
753,519,10,21
732,498,33,67
736,503,33,67
739,506,27,55
738,506,27,55
737,506,27,55
736,505,28,57
735,505,28,57
735,505,30,60
734,505,30,60
732,505,31,62
732,505,31,62
731,505,31,62
730,505,31,62
730,505,31,62
729,505,31,62
728,505,31,62
728,505,30,60
727,505,31,62
726,505,31,62
725,503,32,65
724,503,32,65
723,503,33,67
722,503,32,65
721,502,33,67
721,503,32,65
720,503,32,65
719,504,31,62
717,502,33,67
717,503,32,65
716,503,32,65
714,503,32,65
713,503,32,65
711,505,31,62
710,505,31,62
709,505,30,60
708,505,30,60
707,505,30,60
705,504,30,60
704,504,28,57
703,504,28,57
701,504,28,57
700,503,28,57
699,503,28,57
699,504,27,55
699,504,27,55
699,504,26,52
699,504,26,52
698,504,26,52
697,505,25,50
697,506,25,50
695,506,27,55
692,506,28,57
690,505,32,65
688,505,33,67
688,506,32,65
686,506,34,68
685,506,34,68
685,507,33,66
687,508,34,69
685,508,34,68
682,507,34,68
678,505,34,68
673,503,35,70
670,502,35,70
670,502,33,67
669,504,31,62
667,504,31,62
666,504,31,62
665,505,30,60
663,505,30,60
661,505,31,62
658,505,31,62
656,503,33,67
654,503,33,67
652,503,35,70
650,502,35,70
649,502,35,70
647,502,35,70
644,500,36,72
644,502,35,70
642,502,35,70
641,502,35,70
639,503,33,67
637,503,33,67
636,503,33,67
634,503,33,67
631,503,35,70
630,503,35,70
627,501,36,72
625,501,36,72
623,501,36,72
622,500,36,72
618,499,40,80
619,502,31,62
618,503,30,61
617,503,30,60
615,504,27,55
595,492,74,149
590,487,92,184
593,487,97,194
599,488,93,186
609,496,63,127
605,499,47,95
594,497,50,100
587,498,46,93
586,499,42,85
587,498,41,82
586,499,38,77
585,498,36,72
584,499,33,67
583,500,32,65
581,500,32,65
579,500,32,65
577,501,31,62
575,502,31,62
573,502,31,62
571,502,31,62
568,502,31,62
566,500,33,67
564,500,33,67
562,500,33,67
559,499,35,70
557,499,33,67
555,498,35,70
553,498,33,67
551,498,32,65
550,499,31,62
548,499,30,60
547,501,27,55
546,501,26,52
544,501,26,52
541,502,26,52
538,501,27,55
535,500,30,60
530,499,33,67
527,497,38,77
524,496,41,82
519,494,44,88
518,495,42,85
516,495,42,85
514,494,43,87
512,495,41,83
510,495,41,83
508,495,41,83
505,496,40,80
503,496,41,83
500,496,41,83
498,496,41,83
496,496,41,83
493,496,40,80
491,495,41,83
489,495,40,80
486,494,41,83
484,494,40,80
482,494,40,80
480,493,40,80
478,495,37,75
478,495,36,72
477,496,33,67
475,498,31,63
474,498,30,60
471,498,31,62
468,498,31,62
466,498,31,62
463,496,32,65
460,496,35,70
456,494,38,77
451,493,42,85
447,491,46,93
443,488,50,100
438,485,53,106
435,483,55,111
434,481,56,113
433,481,56,113
432,483,55,110
432,483,55,110
433,483,53,107
432,483,53,107
433,483,54,109
433,481,58,116
429,482,59,118
423,483,57,115
415,486,53,106
408,489,48,97
402,489,48,97
401,488,48,97
400,490,46,92
397,490,46,93
394,490,46,93
393,491,45,91
390,491,45,91
385,491,46,93
382,492,46,93
378,491,47,95
373,489,51,102
370,487,53,107
365,485,56,112
362,484,58,117
360,484,58,117
362,485,56,113
361,486,54,108
359,488,50,100
354,487,50,100
346,485,52,105
342,487,51,102
340,488,51,102
339,490,48,97
337,493,46,92
335,494,45,90
331,493,46,93
328,493,47,95
324,492,48,97
322,493,47,95
319,492,47,95
318,491,45,90
317,491,42,85
313,489,42,85
309,489,41,82
304,489,40,80
298,489,40,80
294,488,41,83
290,489,40,80
288,489,41,83
286,488,42,85
286,487,43,87
286,485,45,90
282,484,46,92
275,485,46,92
269,486,45,91
263,487,45,91
257,487,47,95
254,485,48,97
252,487,47,94
249,486,48,96
246,486,48,96
242,486,49,98
240,486,48,97
240,487,47,94
238,487,47,95
233,485,48,97
226,484,51,102
222,484,50,100
217,483,49,98
216,484,45,90
215,484,42,85
213,484,41,82
210,484,41,82
206,483,42,85
201,482,45,90
196,481,48,97
192,480,51,103
187,479,55,111
184,480,54,109
179,480,54,108
174,481,53,107
170,482,55,110
169,481,58,116
166,483,55,110
160,484,53,106
149,485,50,101
139,487,47,95
130,487,45,90
127,486,45,90
122,486,45,90
119,485,45,90
119,484,47,95
108,482,49,99
91,480,50,100
70,478,51,102
54,477,51,103
41,475,55,110
42,473,56,113
47,477,51,103
42,476,52,105
32,477,51,103
20,474,50,101
2,471,47,95
3,471,46,93
27,477,45,90
48,480,50,100
69,483,52,105
81,485,52,105
75,483,52,105
76,483,52,105
76,482,53,107
78,482,52,105
79,483,51,102
79,483,51,102
80,484,51,102
80,483,52,105
81,485,51,102
81,484,52,105
81,484,52,105
82,484,52,105
82,484,52,105
82,484,53,107
82,483,55,110
83,483,55,110
83,481,56,112
84,480,57,115
85,480,56,112
85,479,57,115
87,480,56,112
87,480,57,115
89,481,56,112
91,483,55,110
93,483,55,110
94,483,55,110
97,484,53,107
99,483,55,110
99,483,55,110
99,483,55,110
100,481,56,112
101,480,56,112
102,481,55,110
103,480,55,110
104,480,55,110
105,480,53,107
108,481,52,105
108,481,53,107
108,482,53,107
110,483,52,105
110,483,53,107
111,483,52,105
112,483,52,105
113,482,52,105
113,481,53,107
113,481,53,107
113,480,55,110
114,478,56,112
115,478,56,112
116,480,55,110
118,481,52,105
118,483,51,102
118,485,50,101
119,486,51,103
119,488,51,103
119,488,52,105
120,489,51,103
120,490,51,102
119,489,53,106
120,488,53,107
119,488,55,110
120,488,54,109
119,487,55,111
115,488,57,115
120,486,57,114
126,481,59,118
133,474,62,125
137,467,68,136
139,463,72,145
138,466,71,143
140,467,70,140
138,465,72,145
139,465,72,145
140,465,72,145
142,464,73,147
142,463,75,150
144,463,73,147
143,462,75,150
144,460,76,152
146,461,75,150
147,461,75,150
149,460,76,152
150,461,76,152
150,463,75,150
152,464,75,150
154,464,75,150
156,462,76,152
158,462,76,152
159,461,77,155
160,460,77,155
161,460,77,155
162,458,78,157
164,457,78,157
165,457,77,155
166,457,77,155
166,457,77,155
167,457,77,155
168,458,78,157
168,459,78,157
169,459,78,157
169,458,80,160
170,458,80,160
171,457,81,162
171,456,82,165
171,456,82,165
171,454,83,167
172,452,85,170
174,452,85,170
176,451,85,170
177,451,85,170
179,452,85,170
180,452,85,170
181,453,86,172
183,453,86,172
185,454,86,172
187,454,86,172
189,454,86,172
190,453,87,175
190,451,88,177
192,452,87,175
193,451,87,175
193,450,87,175
194,449,86,172
195,449,85,170
195,449,85,171
194,449,86,173
191,448,88,177
193,449,90,180
200,453,86,173
207,455,85,170
214,458,82,165
218,459,81,162
218,458,81,162
218,457,82,165
219,456,83,167
221,456,82,165
223,455,82,165
224,454,83,167
226,454,82,165
227,452,85,170
229,453,84,168
232,455,82,165
234,456,82,165
236,457,82,165
238,458,81,163
241,458,81,163
242,457,82,165
244,457,82,165
246,456,82,165
246,453,85,170
248,452,85,170
249,452,83,167
251,451,83,167
252,450,83,167
255,451,82,165
256,452,82,165
257,452,83,167
258,452,85,170
259,453,85,170
260,453,86,173
260,453,86,172
263,453,85,170
263,452,86,172
264,451,87,175
264,448,90,180
266,447,90,180
268,446,91,183
271,444,92,184
273,443,93,187
275,444,92,185
276,444,92,184
280,447,91,182
282,448,90,181
285,448,91,183
288,449,91,183
291,447,93,186
295,447,92,184
297,446,93,187
298,445,94,189
300,444,94,189
302,442,94,189
303,441,94,188
305,441,92,185
307,440,92,185
309,440,94,188
312,441,94,189
312,440,97,194
315,442,97,194
318,442,98,197
321,443,97,195
323,444,97,195
325,443,100,201
325,442,104,209
326,442,106,212
328,440,109,218
332,442,107,214
335,443,106,212
339,444,104,208
342,444,104,208
345,445,104,208
346,446,104,208
349,448,103,206
352,450,101,203
357,453,98,197
362,454,97,194
366,455,95,191
369,454,97,194
372,453,98,196
374,452,98,196
375,451,97,195
378,453,95,190
377,449,97,195
374,444,101,202
370,439,107,215
367,433,114,228
365,431,118,236
368,433,119,238
373,433,120,240
377,433,121,242
380,432,123,247
383,432,123,247
385,431,123,247
387,428,125,250
388,426,125,250
388,423,127,255
389,421,127,255
391,420,127,255
393,418,128,257
396,419,130,260
399,420,131,262
401,420,133,267
404,421,135,270
408,423,135,270
411,422,136,272
415,422,136,272
418,422,137,275
420,421,138,277
423,418,141,282
426,416,141,282
429,414,141,282
433,412,142,285
435,411,142,285
438,410,143,287
441,411,143,287
443,411,146,292
446,412,147,295
448,412,150,300
452,413,151,302
455,414,151,303
458,414,151,303
461,412,152,305
464,411,153,307
468,409,153,307
471,405,156,312
475,403,156,312
479,401,158,317
483,401,158,317
488,400,160,320
492,400,163,327
496,401,165,330
502,403,165,330
508,404,167,335
514,405,167,335
520,406,167,335
525,404,170,340
531,403,171,343
535,400,172,345
539,397,174,349
544,395,174,348
549,393,173,346
553,391,175,350
557,388,177,355
561,385,182,364
563,384,187,374
566,384,190,381
569,386,191,382
573,388,191,382
576,387,192,384
580,387,193,386
583,386,194,389
586,383,196,393
590,381,199,398
593,376,202,405
596,372,204,409
601,369,204,409
606,367,203,406
612,367,197,395
617,367,197,395
618,367,203,407
619,365,213,427
622,365,221,442
626,365,227,455
633,366,226,452
638,365,230,460
642,363,234,469
646,359,240,480
651,355,244,488
655,352,245,491
659,346,248,497
664,342,249,498
670,339,249,499
674,336,252,505
679,335,253,507
684,334,257,515
688,335,263,527
693,335,270,540
697,335,275,551
702,335,277,555
707,334,281,563
714,331,285,570
719,328,289,578
724,323,295,590
731,318,298,597
737,312,303,607
743,305,309,618
749,300,313,626
755,294,321,642
760,292,326,652
767,290,332,664
773,291,338,676
780,291,345,691
788,291,352,704
798,292,357,714
807,289,366,732
816,286,373,746
823,280,382,765
831,271,394,788
838,261,404,808
846,251,412,825
852,240,421,842
859,230,429,859
867,222,436,872
875,217,442,885
883,212,455,910
890,208,468,936
895,204,485,971
902,201,503,1006
910,195,521,1042
918,189,536,1072
923,182,551,1102
928,171,567,1135
933,158,581,1162
940,140,598,1197
951,116,621,1242
960,92,640,1280
971,66,661,1323
980,40,685,1371
991,18,706,1413
1001,-4,736,1472
1010,-23,772,1545
