x,y,w,h
683,454,253,506
698,457,250,500
714,460,245,491
729,463,241,482
744,464,238,477
758,464,239,478
769,461,244,488
781,459,245,490
793,456,248,496
805,454,249,499
817,451,251,502
829,449,251,503
842,448,250,501
855,447,250,500
868,448,249,499
880,450,250,500
892,453,251,503
905,454,252,505
918,456,252,505
931,459,251,503
946,459,250,500
960,459,248,497
974,457,250,500
988,456,250,500
999,454,251,502
1011,453,248,497
1023,454,243,487
1034,454,237,475
1045,455,234,468
1054,456,233,467
1062,457,236,472
1068,457,240,481
1077,461,239,479
1086,463,236,473
1095,466,235,470
1102,467,235,470
1109,469,233,467
1115,468,235,470
1115,461,240,481
1118,457,243,487
1123,452,245,491
1131,451,246,492
1141,452,244,488
1146,452,245,490
1150,452,244,488
1156,453,242,485
1161,455,240,480
1167,458,238,477
1172,461,236,472
1178,464,232,464
1183,467,229,459
1189,469,226,452
1194,471,223,446
1198,471,221,443
1202,473,218,436
1206,473,215,431
1207,472,212,425
1209,472,209,418
1210,471,207,415
1211,470,205,411
1212,469,204,408
1212,470,201,403
1212,472,199,398
1212,474,196,393
1210,475,196,392
1208,478,193,387
1207,481,191,382
1204,481,191,382
1202,481,188,377
1199,481,188,377
1198,482,185,370
1198,484,180,360
1199,484,172,345
1198,485,167,335
1197,484,163,327
1196,483,162,325
1194,481,160,320
1192,482,156,312
1191,482,155,310
1190,484,151,302
1187,485,150,300
1185,486,149,298
1181,487,148,296
1179,489,146,293
1177,489,145,290
1175,489,144,288
1174,491,141,283
1173,490,140,280
1167,489,140,281
1159,487,141,282
1152,487,139,279
1145,483,140,281
1139,482,140,281
1135,481,142,285
1130,480,143,287
1125,481,143,287
1120,481,143,286
1117,482,142,284
1113,483,142,284
1108,484,141,282
1102,484,142,284
1096,485,141,282
1091,484,141,283
1085,483,141,283
1079,482,141,283
1074,480,141,283
1070,479,140,281
1066,479,139,279
1063,478,139,278
1057,475,140,281
1048,473,143,287
1040,470,145,291
1032,468,145,291
1028,469,141,282
1027,470,136,272
1024,473,131,263
1020,474,128,257
1013,474,131,263
1006,473,132,265
1000,474,132,265
993,474,135,270
986,473,137,275
979,472,140,280
972,471,141,283
966,469,143,286
961,468,141,283
953,467,141,283
946,466,141,283
939,467,141,283
932,467,144,288
926,468,146,293
919,468,150,300
914,470,149,298
909,471,149,298
903,471,151,303
895,470,152,305
885,471,153,306
875,472,152,304
865,472,152,304
858,471,153,306
854,471,151,303
848,470,151,303
841,468,154,308
835,468,155,311
828,468,158,317
823,468,160,320
817,470,160,320
810,471,164,328
804,472,165,330
797,474,165,330
787,474,171,343
781,473,172,344
778,475,170,341
776,475,168,336
775,474,165,330
773,474,162,325
765,471,167,335
759,469,170,340
753,467,173,347
749,468,173,347
744,468,176,352
739,470,178,357
736,473,177,355
732,475,176,352
730,479,172,345
727,483,170,340
723,485,172,345
716,485,180,360
710,487,184,368
704,486,190,381
700,485,191,383
695,480,195,391
690,473,199,398
685,466,200,400
681,462,202,405
676,459,207,415
669,457,213,427
664,460,218,437
658,463,225,450
653,468,228,457
649,472,233,466
650,475,235,471
656,475,236,473
666,473,236,472
677,470,237,475
684,464,240,480
689,460,243,487
694,459,246,493
700,460,251,503
704,463,257,515
708,469,262,525
712,475,267,535
714,476,275,550
717,473,283,567
720,466,292,585
724,455,303,607
726,443,312,625
731,432,320,640
736,424,328,656
742,422,335,670
749,422,345,690
755,425,357,715
764,430,368,736
777,435,373,747
792,438,374,748
812,434,372,745
834,426,369,739
856,412,373,746
873,396,383,766
890,379,397,794
907,365,413,826
921,354,433,867
939,349,450,900
957,347,466,933
979,347,480,961
1002,345,494,989
1022,336,513,1026
1042,322,535,1070
1061,302,559,1119
1078,276,589,1178
1094,248,622,1245
1109,220,657,1315
1120,194,697,1395
1130,171,741,1483
1136,148,798,1596
1138,125,869,1738
1139,100,953,1907
1153,79,1018,2036
1160,49,1106,2212
1154,14,1193,2387
1189,-30,1278,2557
1271,-90,1368,2736
1363,-151,1456,2913
1449,-195,1509,3019
1495,-221,1550,3101
1502,-227,1559,3119
1469,-209,1529,3059
